Draw Date,Winning Numbers,,,,,Powerball,Power Play
05/09/2022,18,56,30,35,52,5,2
05/07/2022,5,28,6,67,4,10,2
05/04/2022,55,63,69,39,37,23,2
05/02/2022,18,39,44,33,27,8,5
04/30/2022,21,37,44,63,14,1,3
04/27/2022,62,68,61,11,36,4,2
04/25/2022,18,61,12,39,20,10,2
04/23/2022,49,10,56,39,47,8,3
04/20/2022,55,30,56,20,45,14,2
04/18/2022,8,33,59,55,62,18,2
04/16/2022,62,32,15,65,21,26,5
04/13/2022,63,68,41,16,14,26,2
04/11/2022,5,34,24,31,7,4,2
04/09/2022,62,31,66,6,16,18,2
04/06/2022,6,45,47,42,64,18,3
04/04/2022,2,39,69,32,46,6,2
04/02/2022,58,59,47,28,6,18,2
03/30/2022,37,3,31,21,7,11,3
03/28/2022,62,11,18,58,39,3,2
03/26/2022,2,50,10,59,61,6,3
03/23/2022,37,38,31,32,48,24,2
03/21/2022,26,15,65,63,1,16,2
03/19/2022,9,52,18,8,48,6,2
03/16/2022,58,35,28,34,3,17,2
03/14/2022,21,28,32,49,44,6,3
03/12/2022,19,39,37,61,20,8,2
03/09/2022,34,13,22,67,51,10,2
03/07/2022,59,67,10,55,43,2,3
03/05/2022,37,23,52,63,8,13,2
03/02/2022,63,61,48,19,37,12,2
02/28/2022,21,7,39,47,55,19,2
02/26/2022,48,32,36,64,15,19,3
02/23/2022,64,35,17,6,21,18,2
02/21/2022,37,45,36,69,2,3,2
02/19/2022,10,3,15,42,33,11,2
02/16/2022,40,22,48,30,42,16,2
02/14/2022,49,55,16,27,25,17,3
02/12/2022,10,8,41,21,62,7,3
02/09/2022,63,17,51,2,33,26,2
02/07/2022,65,5,15,38,47,10,3
02/05/2022,39,61,27,16,5,24,2
02/02/2022,33,62,18,63,29,15,3
01/31/2022,61,10,69,51,15,14,3
01/29/2022,54,2,15,65,38,11,4
01/26/2022,69,38,49,4,11,16,3
01/24/2022,11,53,47,30,29,16,3
01/22/2022,67,14,8,33,36,17,2
01/19/2022,11,43,61,15,55,10,3
01/17/2022,46,65,24,35,9,22,2
01/15/2022,3,59,37,51,18,13,2
01/12/2022,21,22,30,12,33,24,4
01/10/2022,17,21,14,27,18,9,2
01/08/2022,21,20,65,36,60,13,10
01/05/2022,25,6,14,33,46,17,2
01/03/2022,2,33,13,32,48,22,2
01/01/2022,39,48,12,50,6,7,2
12/29/2021,39,6,9,33,2,11,2
12/27/2021,62,45,36,64,38,19,2
12/25/2021,29,45,58,55,27,2,3
12/22/2021,16,68,48,7,19,15,2
12/20/2021,13,66,2,23,34,2,4
12/18/2021,61,24,51,6,2,1,2
12/15/2021,19,20,59,40,42,15,3
12/13/2021,10,37,59,53,30,4,2
12/11/2021,25,53,44,3,64,10,2
12/08/2021,33,50,7,3,69,24,2
12/06/2021,3,21,59,50,38,6,3
12/04/2021,56,45,10,40,67,2,2
12/01/2021,12,57,38,15,63,24,2
11/29/2021,28,26,18,38,47,17,2
11/27/2021,32,55,66,64,8,10,2
11/24/2021,65,16,63,10,32,17,2
11/22/2021,7,67,20,29,38,22,2
11/20/2021,48,59,40,69,43,19,3
11/17/2021,48,3,60,16,52,1,3
11/15/2021,53,31,51,34,5,23,2
11/13/2021,45,15,35,26,8,9,3
11/10/2021,46,25,43,48,19,14,2
11/08/2021,47,46,62,57,21,8,3
11/06/2021,64,8,48,30,57,9,2
11/03/2021,50,1,57,24,2,26,2
11/01/2021,44,9,25,34,45,8,3
10/30/2021,56,23,28,5,43,19,2
10/27/2021,3,26,51,35,6,17,4
10/25/2021,29,58,44,10,27,24,2
10/23/2021,30,10,57,63,51,20,2
10/20/2021,7,41,29,43,36,5,2
10/18/2021,53,30,63,48,32,12,2
10/16/2021,30,48,31,41,42,3,3
10/13/2021,47,23,59,29,60,15,2
10/11/2021,20,11,33,39,65,24,3
10/09/2021,62,12,30,17,45,5,2
10/06/2021,17,64,52,1,58,1,10
10/04/2021,66,12,22,54,69,15,2
10/02/2021,42,38,47,52,28,1,2
09/29/2021,32,17,2,7,11,11,3
09/27/2021,44,21,22,39,60,12,2
09/25/2021,37,23,62,22,63,19,3
09/22/2021,47,63,20,40,55,5,3
09/20/2021,58,51,37,54,60,19,2
09/18/2021,45,39,5,57,36,11,2
09/15/2021,46,4,62,1,18,25,3
09/13/2021,37,63,61,50,40,21,3
09/11/2021,40,38,31,20,49,21,2
09/08/2021,22,9,41,61,47,21,2
09/06/2021,33,11,54,22,20,24,2
09/04/2021,54,32,35,40,52,1,5
09/01/2021,10,20,29,48,51,17,2
08/30/2021,61,3,51,45,15,8,2
08/28/2021,12,59,46,26,22,26,2
08/25/2021,39,59,27,54,56,24,3
08/23/2021,47,17,61,36,60,15,3
08/21/2021,59,39,36,16,28,4,2
08/18/2021,36,61,55,51,35,26,2
08/14/2021,6,65,49,67,21,18,2
08/11/2021,18,12,29,20,30,16,3
08/07/2021,24,54,7,60,36,23,2
08/04/2021,36,5,21,58,32,14,2
07/31/2021,21,22,34,1,47,4,2
07/28/2021,53,25,60,59,30,5,3
07/24/2021,4,11,67,1,59,10,2
07/21/2021,27,44,67,28,68,11,2
07/17/2021,54,38,22,15,66,3,2
07/14/2021,52,62,33,59,46,10,2
07/10/2021,29,1,62,5,54,3,2
07/07/2021,8,49,57,30,21,8,2
07/03/2021,26,55,40,41,65,24,2
06/30/2021,50,66,24,65,29,14,4
06/26/2021,31,60,43,8,39,17,3
06/23/2021,20,40,63,13,51,1,3
06/19/2021,38,22,4,39,35,20,2
06/16/2021,19,34,50,44,29,25,2
06/12/2021,8,41,38,25,34,10,3
06/09/2021,54,46,28,50,19,9,2
06/05/2021,64,52,44,69,54,26,3
06/02/2021,67,7,6,11,66,19,3
05/29/2021,13,11,46,22,27,20,2
05/26/2021,21,62,34,8,2,16,2
05/22/2021,40,3,27,37,19,8,2
05/19/2021,11,69,13,56,55,4,2
05/15/2021,39,4,10,37,69,24,3
05/12/2021,20,19,1,38,54,17,2
05/08/2021,20,17,12,21,26,8,3
05/05/2021,63,28,16,40,23,1,2
05/01/2021,47,36,63,35,61,3,3
04/28/2021,16,35,53,18,39,21,3
04/24/2021,36,61,59,22,48,22,3
04/21/2021,25,32,21,67,63,6,2
04/17/2021,41,21,26,10,49,25,2
04/14/2021,13,45,33,30,61,14,2
04/10/2021,16,53,23,50,14,3,3
04/07/2021,27,66,35,39,51,16,5
04/03/2021,39,17,12,53,1,5,2
03/31/2021,3,55,10,44,68,24,2
03/27/2021,39,65,6,14,38,6,3
03/24/2021,38,27,4,17,9,18,2
03/20/2021,6,61,42,1,22,4,3
03/17/2021,62,61,38,34,42,19,2
03/13/2021,56,61,11,51,5,2,2
03/10/2021,44,17,53,18,37,18,3
03/06/2021,50,11,58,52,31,18,4
03/03/2021,55,44,21,50,40,16,3
02/27/2021,44,31,2,52,28,18,3
02/24/2021,65,33,4,53,43,21,3
02/20/2021,22,8,32,4,58,4,10
02/17/2021,15,46,21,1,32,1,3
02/13/2021,68,33,20,63,28,20,2
02/10/2021,67,63,58,15,39,7,2
02/06/2021,48,1,65,16,49,8,2
02/03/2021,64,66,40,5,37,5,3
01/30/2021,61,2,7,52,1,4,3
01/27/2021,35,52,17,42,33,9,3
01/23/2021,8,5,17,28,27,14,3
01/20/2021,53,60,40,68,69,22,3
01/16/2021,67,20,65,14,39,2,3
01/13/2021,49,4,23,25,19,14,2
01/09/2021,45,46,26,14,38,13,2
01/06/2021,1,66,20,22,60,3,3
01/02/2021,3,67,41,4,11,5,2
12/30/2020,45,65,43,61,3,14,2
12/26/2020,35,53,27,24,10,18,2
12/23/2020,6,38,53,39,13,6,3
12/19/2020,27,52,43,32,34,13,2
12/16/2020,37,4,67,23,61,7,2
12/12/2020,56,17,54,63,69,20,2
12/09/2020,47,31,14,48,11,4,3
12/05/2020,4,53,6,48,3,10,2
12/02/2020,40,28,31,41,46,4,3
11/28/2020,12,51,44,8,18,18,2
11/25/2020,57,2,65,58,60,26,2
11/21/2020,69,54,57,51,60,11,2
11/18/2020,17,4,43,5,52,5,2
11/14/2020,45,32,7,18,15,20,2
11/11/2020,63,13,45,17,15,13,2
11/07/2020,16,14,58,37,48,18,2
11/04/2020,49,33,45,23,32,14,2
10/31/2020,40,2,42,55,6,24,3
10/28/2020,37,40,11,28,53,13,2
10/24/2020,27,65,45,20,18,6,2
10/21/2020,44,13,1,3,56,26,3
10/17/2020,6,31,37,10,44,23,2
10/14/2020,37,52,58,53,21,5,2
10/10/2020,23,50,18,40,5,18,3
10/07/2020,6,56,53,30,24,19,2
10/03/2020,18,47,31,43,36,20,2
09/30/2020,67,49,18,14,36,18,2
09/26/2020,62,36,11,21,27,24,3
09/23/2020,8,17,52,59,49,1,2
09/19/2020,14,47,57,23,11,14,4
09/16/2020,31,10,17,51,53,1,2
09/12/2020,16,67,17,53,20,4,2
09/09/2020,55,27,64,52,60,21,3
09/05/2020,27,15,22,47,21,7,2
09/02/2020,11,20,4,69,1,18,2
08/29/2020,22,5,21,29,43,10,2
08/26/2020,8,19,47,58,12,2,2
08/22/2020,36,19,42,30,66,14,3
08/19/2020,13,47,55,23,58,23,10
08/15/2020,5,34,56,45,12,3,3
08/12/2020,18,6,36,2,37,21,2
08/08/2020,14,2,3,40,51,24,3
08/05/2020,65,7,14,57,17,24,5
08/01/2020,43,48,36,25,6,24,3
07/29/2020,7,40,29,35,45,26,2
07/25/2020,36,5,62,21,61,18,2
07/22/2020,16,36,25,44,55,14,3
07/18/2020,32,59,13,58,16,9,2
07/15/2020,61,69,47,27,62,4,10
07/11/2020,61,14,19,62,64,4,2
07/08/2020,36,10,3,34,62,5,10
07/04/2020,60,16,21,27,61,6,2
07/01/2020,53,28,15,52,63,18,4
06/27/2020,36,56,49,62,9,8,2
06/24/2020,15,22,46,27,33,23,3
06/20/2020,67,10,31,63,41,5,3
06/17/2020,10,7,68,64,63,10,3
06/13/2020,65,12,2,32,50,5,3
06/10/2020,33,10,41,54,52,18,5
06/06/2020,68,38,69,1,17,18,2
06/03/2020,64,26,1,3,41,17,2
05/30/2020,32,13,58,41,60,14,2
05/27/2020,58,38,59,64,68,21,3
05/23/2020,2,23,8,18,21,16,4
05/20/2020,42,40,50,18,34,9,2
05/16/2020,8,12,26,42,39,11,2
05/13/2020,57,54,53,56,39,20,3
05/09/2020,42,12,65,48,18,19,5
05/06/2020,65,8,7,50,35,20,4
05/02/2020,58,33,13,68,16,24,5
04/29/2020,49,61,67,2,20,20,2
04/25/2020,1,21,3,57,47,18,2
04/22/2020,1,40,69,33,35,24,5
04/18/2020,46,63,56,4,44,19,2
04/15/2020,10,33,41,12,36,2,3
04/11/2020,29,47,30,22,42,17,3
04/08/2020,48,54,39,2,37,5,3
04/04/2020,40,43,31,8,39,4,3
04/01/2020,60,45,48,33,35,16,2
03/28/2020,40,7,55,66,48,11,2
03/25/2020,42,9,5,27,39,16,2
03/21/2020,69,23,2,59,40,13,2
03/18/2020,27,15,59,44,63,8,4
03/14/2020,26,32,9,23,30,8,3
03/11/2020,29,50,67,4,49,2,4
03/07/2020,15,62,7,21,33,23,2
03/04/2020,68,60,18,43,58,14,2
02/29/2020,24,50,46,44,51,13,3
02/26/2020,27,29,36,47,8,24,3
02/22/2020,61,62,37,39,25,11,3
02/19/2020,15,10,12,56,19,19,2
02/15/2020,32,16,36,46,35,3,3
02/12/2020,55,68,47,54,14,25,2
02/08/2020,59,66,35,50,49,6,2
02/05/2020,57,41,35,30,23,2,3
02/01/2020,33,60,54,57,12,13,4
01/29/2020,12,60,9,15,31,2,2
01/25/2020,36,17,2,67,9,18,2
01/22/2020,33,59,44,67,11,8,3
01/18/2020,24,68,20,38,56,18,2
01/15/2020,39,55,53,41,68,19,2
01/11/2020,23,59,31,3,21,3,2
01/08/2020,7,43,56,4,2,22,4
01/04/2020,54,1,25,21,11,7,2
01/01/2020,49,53,57,59,62,26,2
12/28/2019,59,23,39,20,60,18,2
12/25/2019,4,16,2,30,46,20,2
12/21/2019,50,35,67,19,31,14,2
12/18/2019,39,26,68,18,14,9,2
12/14/2019,6,32,3,12,64,19,3
12/11/2019,24,42,29,44,63,10,4
12/07/2019,66,53,18,42,62,25,3
12/04/2019,8,44,61,51,27,14,3
11/30/2019,42,35,15,63,68,18,4
11/27/2019,26,55,37,53,15,21,2
11/23/2019,38,28,66,35,61,23,3
11/20/2019,40,15,39,57,7,12,2
11/16/2019,26,55,63,14,22,26,3
11/13/2019,23,28,66,27,26,11,2
11/09/2019,14,38,60,35,17,25,2
11/06/2019,64,46,28,62,15,17,3
11/02/2019,23,37,32,58,3,22,2
10/30/2019,56,67,52,19,22,21,2
10/26/2019,3,54,20,59,48,4,4
10/23/2019,61,50,12,5,69,23,2
10/19/2019,65,27,59,14,29,12,2
10/16/2019,67,1,25,5,63,3,2
10/12/2019,12,34,53,65,29,23,2
10/09/2019,5,43,65,18,33,2,2
10/05/2019,6,51,36,54,14,4,2
10/02/2019,43,53,8,10,4,7,2
09/28/2019,51,55,34,15,23,4,2
09/25/2019,44,43,37,45,53,25,3
09/21/2019,1,68,36,22,9,22,2
09/18/2019,14,19,47,51,39,15,3
09/14/2019,31,11,27,36,67,11,2
09/11/2019,53,24,57,6,17,3,3
09/07/2019,41,56,20,11,42,6,2
09/04/2019,52,30,8,4,59,2,10
08/31/2019,41,50,14,56,57,18,5
08/28/2019,32,9,41,56,37,14,10
08/24/2019,47,20,12,21,5,1,2
08/21/2019,22,32,21,12,29,21,2
08/17/2019,24,30,18,21,60,20,3
08/14/2019,51,69,30,10,13,10,2
08/10/2019,41,59,58,44,35,3,3
08/07/2019,47,8,59,32,53,3,3
08/03/2019,45,68,3,6,66,13,2
07/31/2019,14,37,67,47,55,6,2
07/27/2019,61,19,1,48,31,6,2
07/24/2019,29,53,56,35,22,13,2
07/20/2019,5,64,36,26,69,19,3
07/17/2019,19,47,68,60,43,10,2
07/13/2019,32,35,13,23,68,21,3
07/10/2019,7,68,9,26,44,3,3
07/06/2019,4,8,46,23,65,1,2
07/03/2019,50,45,43,40,61,25,3
06/29/2019,59,13,24,62,17,8,2
06/26/2019,54,22,16,1,5,24,3
06/22/2019,66,14,3,6,11,21,2
06/19/2019,26,38,21,4,18,1,3
06/15/2019,8,11,49,16,14,14,3
06/12/2019,42,57,35,38,5,13,2
06/08/2019,13,9,48,42,60,18,2
06/05/2019,38,17,28,34,23,8,3
06/01/2019,34,45,6,52,15,8,2
05/29/2019,61,3,42,32,34,7,2
05/25/2019,43,39,2,66,1,2,3
05/22/2019,7,44,57,10,20,3,2
05/18/2019,2,10,66,67,25,26,4
05/15/2019,33,68,61,17,7,4,2
05/11/2019,40,9,8,6,37,26,2
05/08/2019,66,64,45,53,1,3,3
05/04/2019,30,6,23,16,61,2,2
05/01/2019,66,28,23,56,5,17,5
04/27/2019,45,29,62,41,2,6,3
04/24/2019,35,65,32,36,6,4,5
04/20/2019,3,63,27,65,30,1,3
04/17/2019,15,46,66,17,1,15,3
04/13/2019,17,26,32,4,49,10,2
04/10/2019,39,12,21,23,67,6,4
04/06/2019,33,43,60,59,15,8,3
04/03/2019,25,16,32,49,19,18,2
